,nP_share,nV_share,Platform_rev
776,0.1425,0.065,1444.5729
777,0.1335,0.07,1382.2911
778,0.1455,0.07,1609.9046400000002
779,0.1425,0.09,1562.77248
780,0.139,0.075,1429.797
781,0.137,0.1,1468.49152
782,0.1455,0.045,1449.3789
783,0.142,0.105,1571.20256
784,0.1505,0.095,1542.3369
785,0.1435,0.095,1481.9780999999998
786,0.158,0.09,1718.3132799999998
787,0.151,0.085,1664.51744
788,0.153,0.065,1603.2492
789,0.1345,0.1,1296.9619599999999
790,0.135,0.09,1425.0834
791,0.1475,0.085,1515.8490000000002
792,0.1325,0.06,1264.3777999999998
793,0.135,0.06,1273.32996
794,0.147,0.085,1520.2818
795,0.144,0.125,1389.5019599999998
796,0.1465,0.07,1397.63008
797,0.141,0.095,1440.6651
798,0.142,0.07,1468.5942
799,0.139,0.065,1525.94336
